Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The Denial of Global Warming,The Palgrave Handbook of Climate History,,,,10.1057/978-1-137-43020-5_14,Naomi OreskesErik ConwayDavid J. KarolyJoelle GergisUrs NeuChristian Pfister,2018,https://link.springer.com/chapter/10.1057/978-1-137-43020-5_14,Chapter
Build an Events Calendar,Pro PHP and jQuery,,,,10.1007/978-1-4842-1230-1_4,Jason LengstorfKeith Wald,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1230-1_4,Chapter
Social Life on Distant Alien Worlds,Computer Simulations of Space Societies,,,,10.1007/978-3-319-90560-0_9,William Sims Bainbridge,2018,https://link.springer.com/chapter/10.1007/978-3-319-90560-0_9,Chapter
Self-Mediation Practices of Arab Anarchists,Digital Media and the Politics of Transformation in the Arab World and Asia,,,,10.1007/978-3-658-20700-7_3,Almut Woller,2018,https://link.springer.com/chapter/10.1007/978-3-658-20700-7_3,Chapter
What Should the Next President Do? A Search for a Path for All,Segregation by Design,,,,10.1007/978-3-319-72956-5_9,Catalina FreixasMark Abbott,2019,https://link.springer.com/chapter/10.1007/978-3-319-72956-5_9,Chapter
Q3-D3-LSA: D3.js and Generalized Vector Space Models for Statistical Computing,Handbook of Big Data Analytics,,,,10.1007/978-3-319-18284-1_16,Lukas BorkeWolfgang K. Härdle,2018,https://link.springer.com/chapter/10.1007/978-3-319-18284-1_16,Chapter
Vocational Training of IT-Professionals,"Human-Computer Interaction. User Interface Design, Development and Multimodality",,,,10.1007/978-3-319-58071-5_6,Henrik SchwarzStephanie Conein,2017,https://link.springer.com/chapter/10.1007/978-3-319-58071-5_6,Conference paper
Classes and Controllers,PrestaShop Recipes,,,,10.1007/978-1-4842-2574-5_4,Arnaldo Pérez Castaño,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2574-5_4,Chapter
"Understanding the CLI SAPI, and Why You Need To",PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_3,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_3,Chapter
Vegans in the Interregnum: The Cultural Moment of an Enmeshed Theory,Thinking Veganism in Literature and Culture,,,,10.1007/978-3-319-73380-7_2,Laura Wright,2018,https://link.springer.com/chapter/10.1007/978-3-319-73380-7_2,Chapter
Environmental Impacts in Relation to Wind Energy,Wind Energy for Power Generation,,,,10.1007/978-3-319-75134-4_5,K. R. Rao,2019,https://link.springer.com/chapter/10.1007/978-3-319-75134-4_5,Chapter
Exception Handling,PHP 7 Quick Scripting Reference,,,,10.1007/978-1-4842-1922-5_30,Mikael Olsson,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1922-5_30,Chapter
Building Outer Space: LEGO and the Conquest of the Beyond in the 1970s,Limiting Outer Space,,,,10.1057/978-1-137-36916-1_7,Thore Bjørnvig,2018,https://link.springer.com/chapter/10.1057/978-1-137-36916-1_7,Chapter
Protecting and Promoting Clean Energy Innovation Through the Trade Secrets Regime: Issues and Implications,Intellectual Property and Clean Energy,,,,10.1007/978-981-13-2155-9_15,Darshana Sumanadasa,2018,https://link.springer.com/chapter/10.1007/978-981-13-2155-9_15,Chapter
Theme Development,PrestaShop Recipes,,,,10.1007/978-1-4842-2574-5_3,Arnaldo Pérez Castaño,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2574-5_3,Chapter
Variables,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_10,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_10,Chapter
Developing Legal Strategies for a Sustainable Coast,Mississippi Delta Restoration,,,,10.1007/978-3-319-65663-2_13,James G. Wilkins,2018,https://link.springer.com/chapter/10.1007/978-3-319-65663-2_13,Chapter
Human Trafficking Between Nigeria and the United Kingdom,Bilateral Cooperation and Human Trafficking,,,,10.1007/978-3-319-62825-7_4,May Ikeora,2018,https://link.springer.com/chapter/10.1007/978-3-319-62825-7_4,Chapter
A Long Way Off,Challenges of Nuclear Waste Governance,,,,10.1007/978-3-658-21441-8_2,Eva Sternfeld,2018,https://link.springer.com/chapter/10.1007/978-3-658-21441-8_2,Chapter
Right Heart Anatomy: A Short Uptodate,Right Heart Pathology,,,,10.1007/978-3-319-73764-5_2,Mircea IfrimEcaterina BontaşDaniel CochiorIon C. Ţintoiu,2018,https://link.springer.com/chapter/10.1007/978-3-319-73764-5_2,Chapter
Using SQLite with PHP,Introducing SQLite for Mobile Developers,,,,10.1007/978-1-4842-1766-5_6,Jesse Feiler,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1766-5_6,Chapter
Resilience and Leadership in Asia,Leading Successfully in Asia,,,,10.1007/978-3-319-71347-2_16,Kim Cheng Patrick Low,2018,https://link.springer.com/chapter/10.1007/978-3-319-71347-2_16,Chapter
The Role of Arizona Desert Humanitarians in Compassionate Migration,Compassionate Migration and Regional Policy in the Americas,,,,10.1057/978-1-137-55074-3_18,Rebecca A. Fowler,2017,https://link.springer.com/chapter/10.1057/978-1-137-55074-3_18,Chapter
Chapter P,An Illustrated Terminologia Neuroanatomica,,,,10.1007/978-3-319-64789-0_15,Hans J. ten DonkelaarDavid KachlíkR. Shane Tubbs,2018,https://link.springer.com/chapter/10.1007/978-3-319-64789-0_15,Chapter
Contemporary Populism,"Psychology’s Contribution to Socio-Cultural, Political, and Individual Emancipation",,,,10.1007/978-3-030-28026-0_5,Carl Ratner,2019,https://link.springer.com/chapter/10.1007/978-3-030-28026-0_5,Chapter
Introduction,Investigations in Computational Sarcasm,,,,10.1007/978-981-10-8396-9_1,Aditya JoshiPushpak BhattacharyyaMark J. Carman,2018,https://link.springer.com/chapter/10.1007/978-981-10-8396-9_1,Chapter
Accessing the Database Using PHP,Make an E-commerce Site in a Weekend,,,,10.1007/978-1-4842-1672-9_3,Bintu Harwani,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1672-9_3,Chapter
"Living Labour II: Logistics, Migration, and Labour",Karl Marx and the Postcolonial Age,,,,10.1007/978-3-319-63287-2_5,Ranabir Samaddar,2018,https://link.springer.com/chapter/10.1007/978-3-319-63287-2_5,Chapter
Convergence of Real and Simulated Spaceflight,Computer Simulations of Space Societies,,,,10.1007/978-3-319-90560-0_7,William Sims Bainbridge,2018,https://link.springer.com/chapter/10.1007/978-3-319-90560-0_7,Chapter
Roads to Nowhere: Irish Roads Protests,Contemporary Irish Writing and Environmentalism,,,,10.1007/978-3-319-95897-2_1,Donna L. Potts,2018,https://link.springer.com/chapter/10.1007/978-3-319-95897-2_1,Chapter
Progress,The Romantic Legacy of Charles Dickens,,,,10.1007/978-3-319-96791-2_4,Peter Cook,2018,https://link.springer.com/chapter/10.1007/978-3-319-96791-2_4,Chapter
Agents and Dementia — Smart Risk Assessment,Multi-Agent Systems and Agreement Technologies,,,,10.1007/978-3-319-59294-7_22,Steve WilliamsBerndt Müller,2017,https://link.springer.com/chapter/10.1007/978-3-319-59294-7_22,Conference paper
Linked Open Data for Linguists: Publishing the Hartmann von Aue-Portal in RDF,On the Move to Meaningful Internet Systems. OTM 2017 Conferences,,,,10.1007/978-3-319-69459-7_20,Alex StolzMartin HeppRoy A. Boggs,2017,https://link.springer.com/chapter/10.1007/978-3-319-69459-7_20,Conference paper
Interstellar Travel Across Virtual Galaxies,Computer Simulations of Space Societies,,,,10.1007/978-3-319-90560-0_6,William Sims Bainbridge,2018,https://link.springer.com/chapter/10.1007/978-3-319-90560-0_6,Chapter
Small-Scale Ghanaian Miners and the Textiles and Garment Industry in the Age of Chinese Economic Onslaught,Challenges to African Entrepreneurship in the 21st Century,,,,10.1007/978-3-319-61000-9_6,Darko Opoku,2018,https://link.springer.com/chapter/10.1007/978-3-319-61000-9_6,Chapter
An Overview of Applications of Artificial Intelligence (AI) in Sheet Metal Work,AI Applications in Sheet Metal Forming,,,,10.1007/978-981-10-2251-7_1,A. Y. C. Nee,2017,https://link.springer.com/chapter/10.1007/978-981-10-2251-7_1,Chapter
Development of Business Process Outsourcing in the Philippines,Innovative ICT Industrial Architecture in East Asia,,,,10.1007/978-4-431-55630-5_7,Ferdinand C. MaquitoSergio M. Andal,2017,https://link.springer.com/chapter/10.1007/978-4-431-55630-5_7,Chapter
Self-Intimacy and Individuation,The Foundations of Phenomenological Psychotherapy,,,,10.1007/978-3-319-78087-0_5,Giampiero ArcieroGuido BondolfiViridiana Mazzola,2018,https://link.springer.com/chapter/10.1007/978-3-319-78087-0_5,Chapter
"Additive Manufacturing Metal, the Art of the Possible",Additive Manufacturing of Metals,,,,10.1007/978-3-319-58205-4_2,John O. Milewski,2017,https://link.springer.com/chapter/10.1007/978-3-319-58205-4_2,Chapter
"Reading Peace Beyond Trauma, Resistance, and Hope in The Hunger Games",Peace and Resistance in Youth Cultures,,,,10.1057/978-1-137-49871-7_6,Siobhan McEvoy-Levy,2018,https://link.springer.com/chapter/10.1057/978-1-137-49871-7_6,Chapter
Another Road to Serfdom,Hayek: A Collaborative Biography,,,,10.1007/978-3-319-94412-8_10,John Komlos,2018,https://link.springer.com/chapter/10.1007/978-3-319-94412-8_10,Chapter
City Case Studies in Urban Governance and Urban Activism,Space and Food in the City,,,,10.1007/978-3-319-89324-2_3,Alec Thornton,2018,https://link.springer.com/chapter/10.1007/978-3-319-89324-2_3,Chapter
The Warming of the Planet,The Paris Agreement,,,,10.1007/978-3-319-53541-8_2,Judith Blau,2017,https://link.springer.com/chapter/10.1007/978-3-319-53541-8_2,Chapter
"The Balkan Challenge to the Warsaw Pact, 1960–64",The Balkans in the Cold War,,,,10.1057/978-1-137-43903-1_7,Laurien Crump,2017,https://link.springer.com/chapter/10.1057/978-1-137-43903-1_7,Chapter
Distribution of Media and Information,Managing Media and Digital Organizations,,,,10.1007/978-3-319-71288-8_12,Eli M. Noam,2019,https://link.springer.com/chapter/10.1007/978-3-319-71288-8_12,Chapter
A Web-Based Approach for Analyzing Microorganism Sequences,Applied Computer Sciences in Engineering,,,,10.1007/978-3-319-66963-2_10,Hector FlorezKarina Salvatierra,2017,https://link.springer.com/chapter/10.1007/978-3-319-66963-2_10,Conference paper
Gene Function Analysis,"Granular Neural Networks, Pattern Recognition and Bioinformatics",,,,10.1007/978-3-319-57115-7_6,Sankar K. PalShubhra S. RayAvatharam Ganivada,2017,https://link.springer.com/chapter/10.1007/978-3-319-57115-7_6,Chapter
Directory Services,Pro Linux System Administration,,,,10.1007/978-1-4842-2008-5_16,Dennis MatotekJames TurnbullPeter Lieverdink,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2008-5_16,Chapter
"‘Flapping Ribbons of Shaped Space-Time’: Genre Mixing, Intertextuality and Metafiction in Fiction and Film Adaptation",Screen Adaptations and the Politics of Childhood,,,,10.1057/978-1-137-39541-2_4,Robyn McCallum,2018,https://link.springer.com/chapter/10.1057/978-1-137-39541-2_4,Chapter
Marketing of Media and Information,Managing Media and Digital Organizations,,,,10.1007/978-3-319-71288-8_10,Eli M. Noam,2019,https://link.springer.com/chapter/10.1007/978-3-319-71288-8_10,Chapter
Using the Simple Database with a PHP Web Site,Introducing SQLite for Mobile Developers,,,,10.1007/978-1-4842-1766-5_11,Jesse Feiler,2015,https://link.springer.com/chapter/10.1007/978-1-4842-1766-5_11,Chapter
Technological Specificity in Narrative Design: Story-Driven Videogame Series in an Upgrade Culture,Storytelling Industries,,,,10.1007/978-3-319-70597-2_5,Anthony N. Smith,2018,https://link.springer.com/chapter/10.1007/978-3-319-70597-2_5,Chapter
Using a PHP Script to Manage a MySQL Database,Web Programming with PHP and MySQL,,,,10.1007/978-3-319-22659-0_15,Max Bramer,2015,https://link.springer.com/chapter/10.1007/978-3-319-22659-0_15,Chapter
Comparing seemingly different living environments,The New Diversity of Family Life in Europe,,,,10.1007/978-3-658-17857-4_13,Maren Hilke,2017,https://link.springer.com/chapter/10.1007/978-3-658-17857-4_13,Chapter
Assessing How We Assess Environmental Risk: Kathrin Röggla’s Documentary Film The Mobile Future,German Ecocriticism in the Anthropocene,,,,10.1057/978-1-137-54222-9_14,Katharina Gerstenberger,2017,https://link.springer.com/chapter/10.1057/978-1-137-54222-9_14,Chapter
Introduction,Digital Libraries for Cultural Heritage,,,,10.1007/978-3-031-02310-1_1,Tatjana Aparac-Jelušić,2017,https://link.springer.com/chapter/10.1007/978-3-031-02310-1_1,Chapter
Using Information and Communications Technology as an Enabler for Designing an Efficient National Level Vaccination Planning and Dispensing System,CMBEBIH 2017,,,,10.1007/978-981-10-4166-2_95,Alishba Siab KhanShoab Ahmed Khan,2017,https://link.springer.com/chapter/10.1007/978-981-10-4166-2_95,Conference paper
Applied part,Law and Economics of Personalized Medicine,,,,10.1007/978-3-658-22074-7_5,Karin Bosshard,2018,https://link.springer.com/chapter/10.1007/978-3-658-22074-7_5,Chapter
G-WordNet: Moving WordNet 3.0 and Its Resources to a Graph Database,Advances in Computing,,,,10.1007/978-3-319-66562-7_8,Sergio JimenezGeorge Dueñas,2017,https://link.springer.com/chapter/10.1007/978-3-319-66562-7_8,Conference paper
"The Structure of Research Funding in Germany, the Netherlands and England (UK)",Higher Education Institutions in the EU: Between Competition and Public Service,,,,10.1007/978-94-6265-168-5_4,Andrea Gideon,2017,https://link.springer.com/chapter/10.1007/978-94-6265-168-5_4,Chapter
"Publishers, Editors and Artists in the Marketing of News in the Dutch Republic circa 1700: The Case of Jan Goeree and the Europische Mercurius",Books in Motion in Early Modern Europe,,,,10.1007/978-3-319-53366-7_7,Joop W. Koopmans,2017,https://link.springer.com/chapter/10.1007/978-3-319-53366-7_7,Chapter
The Politics of Taxes,Monopoly Restored,,,,10.1007/978-3-319-93994-0_6,Jack Lawrence Luzkow,2018,https://link.springer.com/chapter/10.1007/978-3-319-93994-0_6,Chapter
The Construction of a Western Voice: OECD and the First UNCTAD of 1964,The OECD and the International Political Economy Since 1948,,,,10.1007/978-3-319-60243-1_6,Patricia Hongler,2017,https://link.springer.com/chapter/10.1007/978-3-319-60243-1_6,Chapter
"Markets, Sustainability Management and Entrepreneurship",Bioeconomy,,,,10.1007/978-3-319-68152-8_8,K. UrbanC. SchiesariO. BoysenR. HahnM. WagnerI. LewandowskiA. KuckertzE. S. C. BergerC. A. Morales Reyes,2018,https://link.springer.com/chapter/10.1007/978-3-319-68152-8_8,Chapter
The Application of EU Competition Law in Poland,The Consistent Application of EU Competition Law,,,,10.1007/978-3-319-47382-6_15,Krystyna Kowalik-Bańczyk,2017,https://link.springer.com/chapter/10.1007/978-3-319-47382-6_15,Chapter
Endocrine Diseases and Disorders of Thyroid Function in Newborns,Neonatology,,,,10.1007/978-3-319-29489-6_259,Paolo GhirriAntonio BalsamoMassimiliano CiantelliPaolo CavarzereAlessandro CicognaniAntonio BoldriniAlessandra Cassio,2018,https://link.springer.com/rwe/10.1007/978-3-319-29489-6_259,Reference work entry
Endocrine Diseases and Disorders of Thyroid Function in Newborns,Neonatology,,,,10.1007/978-3-319-18159-2_259-2,Paolo GhirriAntonio BalsamoMassimiliano CiantelliPaolo CavarzereAlessandra CassioAlessandro CicognaniAntonio Boldrini,2018,https://link.springer.com/rwe/10.1007/978-3-319-18159-2_259-2,Living reference work entry
Designing ICT for Thirdplaceness,Playable Cities,,,,10.1007/978-981-10-1962-3_10,Vinicius FerreiraJunia AnacletoAndre Bueno,2017,https://link.springer.com/chapter/10.1007/978-981-10-1962-3_10,Chapter
"Writing War and Empire: Poetry, Patriotism, and Public Claims-Making in the British Caribbean",Caribbean Military Encounters,,,,10.1057/978-1-137-58014-6_4,Reena N. Goldthree,2017,https://link.springer.com/chapter/10.1057/978-1-137-58014-6_4,Chapter
Moral Methodology in Maternal-Fetal Conflicts,Contemporary Controversies in Catholic Bioethics,,,,10.1007/978-3-319-55766-3_9,Benedict M. Guevin,2017,https://link.springer.com/chapter/10.1007/978-3-319-55766-3_9,Chapter
Our Conquest of Coevolution?,Anthrozoology,,,,10.1007/978-3-319-45964-6_2,Michael Charles TobiasJane Gray Morrison,2017,https://link.springer.com/chapter/10.1007/978-3-319-45964-6_2,Chapter
Using MySQL Databases,PHP and MySQL Recipes,,,,10.1007/978-1-4842-0605-8_16,Frank M. Kromann,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0605-8_16,Chapter
"E-Commerce: Regulatory, Ethical, and Social Environments",Electronic Commerce 2018,,,,10.1007/978-3-319-58715-8_15,Efraim TurbanJon OutlandDavid KingJae Kyu LeeTing-Peng LiangDeborrah C. Turban,2018,https://link.springer.com/chapter/10.1007/978-3-319-58715-8_15,Chapter
Password Protecting Sensitive Actions and Areas,Pro PHP and jQuery,,,,10.1007/978-1-4842-1230-1_6,Jason LengstorfKeith Wald,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1230-1_6,Chapter
"Environmental Security, Water Resources and International Security Organizations",Security and Human Right to Water in Central Asia,,,,10.1057/978-1-137-54005-8_3,Miguel Ángel Pérez Martín,2017,https://link.springer.com/chapter/10.1057/978-1-137-54005-8_3,Chapter
Talking to the System,PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_8,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_8,Chapter
Muslim Theologians of Nonviolence,Religion and Violence,,,,10.1007/978-3-658-18302-8_10,Marcia Hermansen,2017,https://link.springer.com/chapter/10.1007/978-3-658-18302-8_10,Chapter
The Opening Statement,"Crisis, Agency, and Law in US Civil-Military Relations",,,,10.1007/978-3-319-53526-5_2,Daniel Maurer,2017,https://link.springer.com/chapter/10.1007/978-3-319-53526-5_2,Chapter
Structure,Typed PHP,,,,10.1007/978-1-4842-2114-3_2,Christopher Pitt,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2114-3_2,Chapter
The Trauma of (Post)Memory: Women’s Memories in the Holocaust Cinema of the New Millennium,Women in European Holocaust Films,,,,10.1007/978-3-319-65061-6_12,Ingrid Lewis,2017,https://link.springer.com/chapter/10.1007/978-3-319-65061-6_12,Chapter
IoT Patterns: Web Apps,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_8,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_8,Chapter
IoT Patterns: Location Aware,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_9,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_9,Chapter
Legal Text and Pragmatics: Semantic Battles or the Power of the Declarative in Specialized Discourse,Pragmatics and Law,,,,10.1007/978-3-319-44601-1_7,Ekkehard Felder,2017,https://link.springer.com/chapter/10.1007/978-3-319-44601-1_7,Chapter
Productivity Effects of Water Pollution Due to Excessive Aquaculture Structures and Overstocking,"Marine and Coastal Ecosystem Valuation, Institutions, and Policy in Southeast Asia",,,,10.1007/978-981-10-0141-3_9,Zenaida M. SumaldeKaren Lou A. FranciscoMildren Peñales,2016,https://link.springer.com/chapter/10.1007/978-981-10-0141-3_9,Chapter
Coding Standards,PHP Development Tool Essentials,,,,10.1007/978-1-4842-0683-6_3,Chad Russell,2016,https://link.springer.com/chapter/10.1007/978-1-4842-0683-6_3,Chapter
"Safe Defaults, Cross-Site Scripting, and Other Popular Hacks",Securing PHP Apps,,,,10.1007/978-1-4842-2120-4_5,Ben Edmunds,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2120-4_5,Chapter
System Software,PHP Beyond the Web,,,,10.1007/978-1-4842-2481-6_6,Rob Aley,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2481-6_6,Chapter
A Solution for Automatically Malicious Web Shell and Web Application Vulnerability Detection,Computational Collective Intelligence,,,,10.1007/978-3-319-45243-2_34,Van-Giap LeHuu-Tung NguyenDang-Nhac LuNgoc-Hoa Nguyen,2016,https://link.springer.com/chapter/10.1007/978-3-319-45243-2_34,Conference paper
The “White Magic” of Modernity: Retracing Indigenous Environmental Knowledge in Settler-Colonialist Australia,Environmental Transformations and Cultural Responses,,,,10.1057/978-1-137-53349-4_7,Carsten Wergin,2017,https://link.springer.com/chapter/10.1057/978-1-137-53349-4_7,Chapter
"Add Controls to Create, Edit, and Delete Events",Pro PHP and jQuery,,,,10.1007/978-1-4842-1230-1_5,Jason LengstorfKeith Wald,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1230-1_5,Chapter
Iranian Antisemitism and the Holocaust,Antisemitism Before and Since the Holocaust,,,,10.1007/978-3-319-48866-0_9,Meir Litvak,2017,https://link.springer.com/chapter/10.1007/978-3-319-48866-0_9,Chapter
IoT Patterns: On-Demand Clients,Building Arduino Projects for the Internet of Things,,,,10.1007/978-1-4842-1940-9_7,Adeel Javed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1940-9_7,Chapter
"Lords of the Forests in Flanders: Small War by Freebooters and the Dutch Contributions System in Flanders, 1584–1592",Unconventional Warfare from Antiquity to the Present Day,,,,10.1007/978-3-319-49526-2_8,Tim Piceu,2017,https://link.springer.com/chapter/10.1007/978-3-319-49526-2_8,Chapter
Advanced Features,"PHP Objects, Patterns, and Practice",,,,10.1007/978-1-4842-1996-6_4,Matt Zandstra,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1996-6_4,Chapter
G1—Lifestyle Migrants,Intergenerational Consequences of Lifestyle Migration,,,,10.1007/978-981-10-3260-8_5,Irmengard K. Wohlfart,2017,https://link.springer.com/chapter/10.1007/978-981-10-3260-8_5,Chapter
"International Soil Protection Law: History, Concepts and Latest Developments",International Yearbook of Soil Law and Policy 2016,,,,10.1007/978-3-319-42508-5_7,Ben W. BoerHarald GinzkyIrene L. Heuser,2017,https://link.springer.com/chapter/10.1007/978-3-319-42508-5_7,Chapter
Performing Form Validation with Regular Expressions,Pro PHP and jQuery,,,,10.1007/978-1-4842-1230-1_9,Jason LengstorfKeith Wald,2016,https://link.springer.com/chapter/10.1007/978-1-4842-1230-1_9,Chapter
Demands in Higher Education,Modeling and Measuring Competencies in Higher Education,,,,10.1007/978-3-658-15486-8_4,Olga Zlatkin-TroitschanskaiaHans Anand PantCorinna LautenbachDimitar MolerovMiriam ToepperSebastian Brückner,2017,https://link.springer.com/chapter/10.1007/978-3-658-15486-8_4,Chapter
Time of Death: Alterity,Mourning and Creativity in Proust,,,,10.1057/978-1-137-60073-8_2,Anna Magdalena Elsner,2017,https://link.springer.com/chapter/10.1057/978-1-137-60073-8_2,Chapter
Slavery and the Early Development of America,"American History, Race and the Struggle for Equality",,,,10.1007/978-981-10-1977-7_2,Masaki Kawashima,2017,https://link.springer.com/chapter/10.1007/978-981-10-1977-7_2,Chapter
Physiology of the Developing Kidney: Disorders and Therapy of Calcium and Phosphorous Homeostasis,Pediatric Nephrology,,,,10.1007/978-3-662-43596-0_10,Amita SharmaRajesh V. ThakkerHarald Jüppner,2016,https://link.springer.com/rwe/10.1007/978-3-662-43596-0_10,Reference work entry
An Overview of the Corporate Governance Debate in Germany,German Corporate Governance in International and European Context,,,,10.1007/978-3-662-54198-2_2,Jean J. du PlessisIngo Saenger,2017,https://link.springer.com/chapter/10.1007/978-3-662-54198-2_2,Chapter
A Systematic Hands-On Approach to Generate Real-Life Intrusion Datasets,Network Traffic Anomaly Detection and Prevention,,,,10.1007/978-3-319-65188-0_3,Monowar H. BhuyanDhruba K. BhattacharyyaJugal K. Kalita,2017,https://link.springer.com/chapter/10.1007/978-3-319-65188-0_3,Chapter
Land: Building and Maintaining a Property Portfolio,Empress Adelheid and Countess Matilda,,,,10.1057/978-1-137-58514-1_3,Penelope Nash,2017,https://link.springer.com/chapter/10.1057/978-1-137-58514-1_3,Chapter
Design of Shine as a Method for Engagement,Performance for Resilience,,,,10.1007/978-3-319-67289-2_2,Beth Osnes,2017,https://link.springer.com/chapter/10.1007/978-3-319-67289-2_2,Chapter
Residualism: Online Survival of Rejected Religions,Dynamic Secularization,,,,10.1007/978-3-319-56502-6_4,William Sims Bainbridge,2017,https://link.springer.com/chapter/10.1007/978-3-319-56502-6_4,Chapter
Mars,The Politics and Perils of Space Exploration,,,,10.1007/978-3-319-38813-7_3,Linda Dawson,2017,https://link.springer.com/chapter/10.1007/978-3-319-38813-7_3,Chapter
The Epistemology of Politics,The Wandering Thought of Hannah Arendt,,,,10.1057/978-1-137-48215-0_5,Hans-Jörg Sigwart,2016,https://link.springer.com/chapter/10.1057/978-1-137-48215-0_5,Chapter
Cooperation in the Baltic Sea Region,"A Modern Nordic Saga : Politics, Economy and Society",,,,10.1007/978-3-319-42363-0_14,Ryszard M. Czarny,2017,https://link.springer.com/chapter/10.1007/978-3-319-42363-0_14,Chapter
The Experiential Position of Political Theory,The Wandering Thought of Hannah Arendt,,,,10.1057/978-1-137-48215-0_6,Hans-Jörg Sigwart,2016,https://link.springer.com/chapter/10.1057/978-1-137-48215-0_6,Chapter
"Moscow, Lithuania, Latvia, Estonia, Ukraine, and East Germany",POW/MIA Accounting,,,,10.1007/978-981-10-7128-7_13,Paul M. Cole,2018,https://link.springer.com/chapter/10.1007/978-981-10-7128-7_13,Chapter
Milestones for a Global Cashless Economy,The Book of Payments,,,,10.1057/978-1-137-60231-2_33,Bernardo Bátiz-LazoLeonidas EfthymiouSophia Michael,2016,https://link.springer.com/chapter/10.1057/978-1-137-60231-2_33,Chapter
Basic Principles: “Sustainability” in Context,Sustainable Landscape Construction,,,,10.5822/978-1-61091-811-4_1,Kim SorvigJ. William Thompson,2018,https://link.springer.com/chapter/10.5822/978-1-61091-811-4_1,Chapter
“History Issues” and Zhou Enlai,The Making of China’s Peace with Japan,,,,10.1007/978-981-10-4008-5_8,Mayumi Itoh,2017,https://link.springer.com/chapter/10.1007/978-981-10-4008-5_8,Chapter
Intelligent Web Security Testing with Threat Assessment and Client Server Penetration,Proceedings of International Conference on ICT for Sustainable Development,,,,10.1007/978-981-10-0135-2_54,Hardik GohelPriyanka Sharma,2016,https://link.springer.com/chapter/10.1007/978-981-10-0135-2_54,Conference paper
Data Services,Pro T-SQL Programmer's Guide,,,,10.1007/978-1-4842-0145-9_17,Miguel CebolleroJay NatarajanMichael Coles,2015,https://link.springer.com/chapter/10.1007/978-1-4842-0145-9_17,Chapter
Literary Maps and the Creation of a Legend,Expanding Adaptation Networks,,,,10.1057/978-1-137-56712-3_4,Kate Newell,2017,https://link.springer.com/chapter/10.1057/978-1-137-56712-3_4,Chapter
"Inevitable Intersections: Care, Work, and Citizenship",Disabling Domesticity,,,,10.1057/978-1-137-48769-8_7,Grace Chang,2017,https://link.springer.com/chapter/10.1057/978-1-137-48769-8_7,Chapter
"Authentication, Access Control, and Safe File Handling",Securing PHP Apps,,,,10.1007/978-1-4842-2120-4_4,Ben Edmunds,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2120-4_4,Chapter
Hamas,The Politics of Militant Group Survival in the Middle East,,,,10.1007/978-3-319-40141-6_5,Ora Szekely,2017,https://link.springer.com/chapter/10.1007/978-3-319-40141-6_5,Chapter
Legal Consequences of Organ Transplantation Malpractice,Organ Transplantation in Times of Donor Shortage,,,,10.1007/978-3-319-16441-0_16,Ruth Rissing-van Saan,2016,https://link.springer.com/chapter/10.1007/978-3-319-16441-0_16,Chapter
The Limits of Political Horizons and the Vocation of Theoretical Wandering,The Wandering Thought of Hannah Arendt,,,,10.1057/978-1-137-48215-0_7,Hans-Jörg Sigwart,2016,https://link.springer.com/chapter/10.1057/978-1-137-48215-0_7,Chapter
Making It Legal,Homeschool,,,,10.1057/978-1-349-95056-0_7,Milton Gaither,2017,https://link.springer.com/chapter/10.1057/978-1-349-95056-0_7,Chapter
Queer Exuberance: Visceral Reading and the Politics of Positive Affect,Queer Experimental Literature,,,,10.1057/978-1-137-59543-0_4,Teagan Bradway,2017,https://link.springer.com/chapter/10.1057/978-1-137-59543-0_4,Chapter
